match_date_dt,match_date_time_dt,season,home_team,away_team,home_score,away_score,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_pack_weight_kg,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_pack_weight_kg
2022-02-26,2022-02-26 14:00:00,21/22,CONNACHT,STORMERS,19,17,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,27,26,201,903,29,26,201,917
2022-02-26,2022-02-26 16:05:00,21/22,BENETTON,SHARKS,7,29,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,25,27,200,891,27,26,200,938
2022-03-04,2022-03-04 20:35:00,21/22,EDINBURGH,CONNACHT,56,8,8.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,26,26,203,911,26,27,196,890
2022-03-04,2022-03-04 20:35:00,21/22,ULSTER,CARDIFF,48,12,7.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,29,26,198,908,30,26,196,888
2022-03-05,2022-03-05 13:55:00,21/22,BENETTON,LEINSTER,17,61,2.0,2.0,1.0,0.0,9.0,8.0,0.0,0.0,27,26,200,892,26,27,198,899
2022-03-05,2022-03-05 18:15:00,21/22,SCARLETS,GLASGOW,35,10,5.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,27,26,198,907,29,26,203,922
2022-03-05,2022-03-05 18:15:00,21/22,MUNSTER,DRAGONS,64,3,10.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,27,26,203,890,26,26,203,925
2022-03-06,2022-03-06 15:00:00,21/22,OSPREYS,ZEBRE,27,22,3.0,3.0,2.0,0.0,1.0,1.0,5.0,0.0,28,27,198,912,25,25,200,896
2022-03-11,2022-03-11 18:10:00,21/22,SHARKS,SCARLETS,37,20,4.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,29,26,200,926,27,24,198,907
2022-03-12,2022-03-12 15:05:00,21/22,BULLS,MUNSTER,29,24,2.0,2.0,5.0,0.0,3.0,3.0,1.0,0.0,27,27,203,927,27,26,203,896
2022-03-12,2022-03-12 20:35:00,21/22,ULSTER,LEINSTER,18,13,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,30,26,201,920,27,26,198,915
2022-03-13,2022-03-13 15:00:00,21/22,LIONS,CARDIFF,37,20,4.0,4.0,3.0,0.0,2.0,2.0,2.0,0.0,26,24,202,918,28,27,196,910
2022-03-13,2022-03-13 17:05:00,21/22,STORMERS,ZEBRE,55,7,9.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,29,26,201,902,24,27,202,903
2022-03-18,2022-03-18 18:10:00,21/22,BULLS,SCARLETS,57,12,9.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,27,26,203,934,27,25,198,909
2022-03-18,2022-03-18 20:35:00,21/22,GLASGOW,EDINBURGH,30,17,3.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,28,25,205,909,26,26,203,897
2022-03-19,2022-03-19 13:00:00,21/22,LIONS,MUNSTER,23,21,2.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,25,24,202,919,26,25,203,895
2022-03-19,2022-03-19 17:30:00,21/22,SHARKS,ZEBRE,38,6,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,28,26,200,923,25,25,200,908
2022-03-20,2022-03-20 13:00:00,21/22,STORMERS,CARDIFF,40,3,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,29,27,198,899,29,26,201,924
2022-03-25,2022-03-25 18:00:00,21/22,LIONS,OSPREYS,45,15,7.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,26,24,202,904,28,26,198,912
2022-03-25,2022-03-25 20:35:00,21/22,MUNSTER,BENETTON,51,22,6.0,6.0,3.0,0.0,3.0,2.0,1.0,0.0,25,25,198,871,28,26,200,911
2022-03-26,2022-03-26 14:00:00,21/22,STORMERS,ULSTER,23,20,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,28,26,201,932,29,27,199,920
2022-03-26,2022-03-26 14:00:00,21/22,ZEBRE,SCARLETS,24,41,3.0,3.0,1.0,0.0,6.0,4.0,1.0,0.0,26,25,200,905,27,24,198,919
2022-03-26,2022-03-26 16:05:00,21/22,SHARKS,EDINBURGH,5,21,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,29,26,200,926,27,26,203,932
2022-03-26,2022-03-26 18:15:00,21/22,BULLS,DRAGONS,55,20,8.0,6.0,1.0,0.0,3.0,1.0,1.0,0.0,28,26,203,930,25,25,198,909
2022-03-26,2022-03-26 18:15:00,21/22,CARDIFF,GLASGOW,32,28,4.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,29,27,196,922,28,26,205,927
2022-03-26,2022-03-26 20:35:00,21/22,CONNACHT,LEINSTER,8,45,1.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,26,27,201,881,27,25,198,915
2022-04-01,2022-04-01 19:30:00,21/22,SHARKS,DRAGONS,51,3,6.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,26,27,201,948,27,26,203,921
2022-04-01,2022-04-01 20:35:00,21/22,GLASGOW,ZEBRE,40,12,6.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,27,26,199,896,26,24,200,925
2022-04-02,2022-04-02 13:00:00,21/22,BENETTON,CONNACHT,17,21,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,27,26,200,893,27,27,201,894
2022-04-02,2022-04-02 14:00:00,21/22,BULLS,ULSTER,34,16,4.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,25,26,203,931,29,25,199,926
2022-04-02,2022-04-02 16:05:00,21/22,LIONS,EDINBURGH,15,9,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,25,23,202,934,29,26,203,915
2022-04-02,2022-04-02 18:15:00,21/22,STORMERS,OSPREYS,29,13,4.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,27,26,201,937,27,27,203,923
2022-04-02,2022-04-02 20:00:00,21/22,MUNSTER,LEINSTER,19,34,1.0,1.0,4.0,0.0,4.0,1.0,4.0,0.0,28,26,203,915,29,27,211,922
2022-04-02,2022-04-02 20:35:00,21/22,SCARLETS,CARDIFF,35,20,4.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,27,26,198,920,27,29,203,928
2022-04-09,2022-04-09 14:00:00,21/22,STORMERS,BULLS,19,17,1.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,28,26,201,907,25,26,203,931
2022-04-09,2022-04-09 16:05:00,21/22,SHARKS,LIONS,37,10,4.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,28,26,200,929,26,24,202,908
2022-04-09,2022-04-09 16:10:00,21/22,CARDIFF,SCARLETS,14,49,2.0,2.0,0.0,0.0,7.0,6.0,0.0,1.0,28,26,203,921,27,26,198,929
2022-04-16,2022-04-16 20:35:00,21/22,SCARLETS,DRAGONS,27,38,4.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,27,26,200,911,26,25,203,915
2022-04-22,2022-04-22 18:30:00,21/22,STORMERS,GLASGOW,32,7,4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,27,26,201,942,27,26,205,929
2022-04-22,2022-04-22 20:35:00,21/22,ULSTER,MUNSTER,17,24,2.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,30,26,198,910,26,27,203,911
2022-04-22,2022-04-22 20:45:00,21/22,EDINBURGH,ZEBRE,29,26,4.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,27,26,201,939,25,25,202,944
2022-04-23,2022-04-23 14:00:00,21/22,BULLS,BENETTON,46,29,6.0,5.0,2.0,0.0,2.0,2.0,5.0,0.0,25,26,203,931,26,26,200,909
2022-04-23,2022-04-23 16:00:00,21/22,DRAGONS,SCARLETS,19,38,3.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,25,26,203,922,27,27,198,932
2022-04-23,2022-04-23 16:05:00,21/22,LIONS,CONNACHT,30,33,4.0,2.0,2.0,0.0,3.0,2.0,4.0,1.0,25,25,202,902,26,27,201,886
2022-04-23,2022-04-23 18:15:00,21/22,CARDIFF,OSPREYS,6,22,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,27,28,203,937,26,28,203,913
2022-04-23,2022-04-23 18:15:00,21/22,SHARKS,LEINSTER,28,23,4.0,4.0,0.0,0.0,2.0,2.0,3.0,0.0,28,26,201,955,24,24,203,920
2022-04-29,2022-04-29 19:00:00,21/22,BULLS,GLASGOW,29,17,4.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,26,27,203,924,29,26,205,918
2022-04-29,2022-04-29 20:35:00,21/22,MUNSTER,CARDIFF,42,21,5.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,27,26,206,904,27,27,203,939
2022-04-30,2022-04-30 14:00:00,21/22,LIONS,BENETTON,37,29,5.0,3.0,2.0,0.0,4.0,3.0,0.0,0.0,25,25,202,934,26,26,200,898
2022-04-30,2022-04-30 16:05:00,21/22,SHARKS,CONNACHT,41,21,5.0,5.0,2.0,0.0,2.0,1.0,3.0,0.0,28,26,201,955,29,26,204,896
2022-04-30,2022-04-30 16:05:00,21/22,ZEBRE,DRAGONS,23,18,3.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,27,25,202,931,24,26,198,923
2022-04-30,2022-04-30 18:15:00,21/22,STORMERS,LEINSTER,20,13,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,27,28,201,928,24,23,200,895
2022-04-30,2022-04-30 18:15:00,21/22,OSPREYS,SCARLETS,54,36,8.0,7.0,0.0,0.0,5.0,4.0,1.0,0.0,26,28,203,913,27,27,198,932
2022-04-30,2022-04-30 20:35:00,21/22,EDINBURGH,ULSTER,10,16,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,29,27,198,914,29,25,199,935
2022-05-06,2022-05-06 20:35:00,21/22,CARDIFF,ZEBRE,42,14,6.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,27,26,203,923,27,25,202,920
2022-05-08,2022-05-08 16:00:00,21/22,OSPREYS,DRAGONS,50,31,7.0,6.0,1.0,0.0,4.0,4.0,1.0,0.0,26,30,203,913,26,26,198,914
2022-05-13,2022-05-13 20:35:00,21/22,DRAGONS,CARDIFF,18,19,2.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,26,27,198,917,27,27,203,923
2022-05-14,2022-05-14 17:30:00,21/22,BENETTON,ZEBRE,39,17,5.0,4.0,2.0,0.0,2.0,2.0,1.0,0.0,24,26,198,880,26,24,202,916
2022-05-20,2022-05-20 19:00:00,21/22,BENETTON,CARDIFF,69,21,10.0,8.0,1.0,0.0,3.0,3.0,0.0,0.0,25,26,200,883,28,25,203,946
2022-05-20,2022-05-20 20:35:00,21/22,ULSTER,SHARKS,24,21,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,29,25,198,920,28,25,200,930
2022-05-20,2022-05-20 21:10:00,21/22,OSPREYS,BULLS,31,38,4.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,26,30,203,913,25,25,203,931
2022-05-21,2022-05-21 16:00:00,21/22,DRAGONS,LIONS,11,21,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,26,26,203,884,25,24,202,901
2022-05-21,2022-05-21 18:00:00,21/22,CONNACHT,ZEBRE,22,20,4.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,26,26,204,892,25,24,202,904
2022-05-21,2022-05-21 18:10:00,21/22,SCARLETS,STORMERS,21,26,2.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,28,27,203,922,27,27,200,927
2022-05-21,2022-05-21 19:30:00,21/22,EDINBURGH,GLASGOW,28,11,3.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,29,27,198,911,29,25,205,918
2022-05-21,2022-05-21 20:15:00,21/22,LEINSTER,MUNSTER,35,25,4.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,25,25,198,892,26,27,206,907
2022-06-03,2022-06-03 20:35:00,21/22,ULSTER,MUNSTER,36,17,5.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,29,26,198,920,27,28,203,898
2022-06-04,2022-06-04 13:45:00,21/22,BULLS,SHARKS,30,27,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0,26,25,203,924,28,26,201,947
2022-06-04,2022-06-04 16:15:00,21/22,LEINSTER,GLASGOW,76,14,12.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,25,28,201,912,29,27,205,925
2022-06-04,2022-06-04 19:00:00,21/22,STORMERS,EDINBURGH,28,17,3.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,27,26,200,927,29,27,198,911
