Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
,,,,,,Munster,,,,,,,Lions," Date :  Saturday, November 30, 2024 Kick Off : 20:35 Venue : Thomond Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Ulster,,,,,,,Munster," Date :  Friday, December 20, 2024 Kick Off : 20:35 Venue : Kingspan Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Trévise,,,,,,,Zebre," Date :  Saturday, December 21, 2024 Kick Off : 14:00 Venue : Stadio Comunale di Monigo Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,2:00 PM
,,,,,,Stormers,,,,,,,Lions," Date :  Saturday, December 21, 2024 Kick Off : 14:45 Venue : DHL Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,2:45 PM
,,,,,,Sharks,,,,,,,Bulls," Date :  Saturday, December 21, 2024 Kick Off : 17:00 Venue : Hollywoodbets Kings Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,5:00 PM
,,,,,,Glasgow,,,,,,,Edimbourg," Date :  Saturday, December 21, 2024 Kick Off : 18:15 Venue : Scotstoun Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:15 PM
,,,,,,Ospreys,,,,,,,Scarlets," Date :  Saturday, December 21, 2024 Kick Off : 18:15 Venue : Swansea.com Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:15 PM
,,,,,,Leinster,,,,,,,Connacht," Date :  Saturday, December 21, 2024 Kick Off : 18:30 Venue : Aviva Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Dragons,,,,,,,Cardiff," Date :  Thursday, December 26, 2024 Kick Off : 16:00 Venue : Rodney Parade Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Munster,,,,,,,Leinster," Date :  Friday, December 27, 2024 Kick Off : 20:35 Venue : Thomond Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
