match_date_,Home team,Away team,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,competition,round_stage,pkey,home_score,away_score,score_diff,home_pack_weight,away_pack_weight,home_forwards_ages,home_backs_ages,away_forwards_ages,away_backs_ages
2022-02-26,CLERMONT,PERPIGNAN,7.0,53_65_35_80_16_32_69,2.0,38_72,1.0,6,0.0,,7.0,17_33_36_54_66_69_80,1.0,39,top-14,pool stage,CLERMONT_PERPIGNAN_2022-02-26,52,12,40,912,922,27,26,30,27
2022-02-26,RACING 92,CASTRES,5.0,10_55_74_63_80,4.0,20_80_42_52,4.0,3_28_36_46,1.0,39,4.0,11_55_64_75,1.0,80,top-14,pool stage,RACING 92_CASTRES_2022-02-26,45,25,20,893,935,27,28,26,29
2022-02-26,BENETTON,SHARKS,1.0,62,4.0,6_41_78_25,0.0,,1.0,73,1.0,63,3.0,7_26_42,urc,pool stage,BENETTON_SHARKS_2022-02-26,7,29,-22,891,934,25,27,27,26
2022-02-26,CONNACHT,STORMERS,3.0,29_59_71,3.0,46_38_18,0.0,,0.0,,2.0,30_60,1.0,48,urc,pool stage,CONNACHT_STORMERS_2022-02-26,19,17,2,901,907,27,26,29,26
2022-02-27,NORTHAMPTON,EXETER,3.0,47_41_28,4.0,32_69_22_64,3.0,7_18_44,2.0,10_79,2.0,30_41,4.0,23_33_65_70,premiership,pool stage,NORTHAMPTON_EXETER_2022-02-27,31,34,-3,944,921,26,26,25,25
2022-02-27,MONTPELLIER,PARIS,3.0,18_73_46,0.0,,3.0,6_24_62,1.0,31,3.0,19_47_74,0.0,,top-14,pool stage,MONTPELLIER_PARIS_2022-02-27,30,3,27,905,897,28,27,28,26
2022-02-27,TOULOUSE,BORDEAUX,0.0,,1.0,6,4.0,3_31_36_71,2.0,24_54,0.0,,0.0,,top-14,pool stage,TOULOUSE_BORDEAUX_2022-02-27,12,11,1,961,930,27,27,29,26
2022-03-04,HARLEQUINS,NEWCASTLE,4.0,27_67_4_31,1.0,38,0.0,,1.0,24,2.0,5_32,1.0,39,premiership,pool stage,HARLEQUINS_NEWCASTLE_2022-03-04,24,10,14,923,920,27,26,27,26
2022-03-04,ULSTER,CARDIFF,6.0,48_40_14_7_53_68,2.0,44_75,1.0,12,0.0,,5.0,8_15_49_55_70,1.0,76,urc,pool stage,ULSTER_CARDIFF_2022-03-04,48,12,36,906,888,29,26,30,26
2022-03-04,EDINBURGH,CONNACHT,8.0,37_67_41_50_28_32_59_73,1.0,23,0.0,,1.0,10,8.0,29_33_39_42_51_60_68_75,0.0,,urc,pool stage,EDINBURGH_CONNACHT_2022-03-04,56,8,48,910,888,26,26,26,27
2022-03-05,LONDON IRISH,WORCESTER,7.0,9_41_37_55_25_48_71,2.0,41_74,0.0,,0.0,,4.0,38_42_49_56,1.0,75,premiership,pool stage,LONDON IRISH_WORCESTER_2022-03-05,43,12,31,918,925,28,26,26,25
2022-03-05,BATH,BRISTOL,4.0,46_43_36_84,3.0,2_5_13,0.0,,2.0,40_75,2.0,44_46,3.0,3_6_14,premiership,pool stage,BATH_BRISTOL_2022-03-05,29,27,2,904,925,26,28,29,27
2022-03-05,GLOUCESTER,NORTHAMPTON,3.0,2_73_36,3.0,50_34_26,0.0,,3.0,20_32_70,4.0,3_37_63_74,3.0,27_35_51,premiership,pool stage,GLOUCESTER_NORTHAMPTON_2022-03-05,35,30,5,912,953,28,25,26,27
2022-03-05,SARACENS,LEICESTER,5.0,20_77_42_29_36,3.0,48_7_72,1.0,31,2.0,26_35,3.0,21_30_43,3.0,8_49_73,premiership,pool stage,SARACENS_LEICESTER_2022-03-05,34,27,7,920,923,29,28,23,29
2022-03-05,PERPIGNAN,RACING 92,4.0,32_34_75_69,1.0,60,2.0,26_65,2.0,8_48,4.0,33_35_70_76,1.0,61,top-14,pool stage,PERPIGNAN_RACING 92_2022-03-05,34,13,21,901,889,31,27,28,26
2022-03-05,LA ROCHELLE,BRIVE,6.0,31_36_26_49_8_40,2.0,47_79,1.0,17,1.0,3,4.0,32_37_40_50,1.0,80,top-14,pool stage,LA ROCHELLE_BRIVE_2022-03-05,41,15,26,935,926,27,27,26,25
2022-03-05,CLERMONT,LYON,3.0,47_36_79,1.0,55,2.0,19_77,3.0,12_40_66,2.0,47_80,1.0,57,top-14,pool stage,CLERMONT_LYON_2022-03-05,25,16,9,908,891,27,26,28,27
2022-03-05,BIARRITZ,TOULON,2.0,49_36,4.0,67_21_27_71,1.0,13,4.0,2_18_47_57,2.0,37_50,3.0,22_67_72,top-14,pool stage,BIARRITZ_TOULON_2022-03-05,17,45,-28,881,951,27,28,30,26
2022-03-05,CASTRES,MONTPELLIER,3.0,41_32_49,0.0,,2.0,4_27,3.0,38_21_46,2.0,33_50,0.0,,top-14,pool stage,CASTRES_MONTPELLIER_2022-03-05,25,9,16,940,923,28,27,26,24
2022-03-05,MUNSTER,DRAGONS,10.0,24_74_36_63_9_22_52_54_57_72,0.0,,0.0,,1.0,16,7.0,11_23_25_37_55_73_75,0.0,,urc,pool stage,MUNSTER_DRAGONS_2022-03-05,64,3,61,890,925,27,26,26,26
2022-03-05,SCARLETS,GLASGOW,5.0,64_57_72_41_38,1.0,3,0.0,,1.0,21,5.0,39_42_58_64_73,1.0,5,urc,pool stage,SCARLETS_GLASGOW_2022-03-05,35,10,25,907,922,27,26,29,26
2022-03-05,BORDEAUX,PAU,1.0,33,3.0,18_50_78,2.0,3_45,2.0,65_71,1.0,34,1.0,79,top-14,pool stage,BORDEAUX_PAU_2022-03-05,16,23,-7,941,896,30,27,28,25
2022-03-05,BENETTON,LEINSTER,2.0,49_76,9.0,22_46_5_35_27_64_80_55_72,1.0,11,0.0,,2.0,51_77,8.0,6_23_28_36_47_56_65_82,urc,pool stage,BENETTON_LEINSTER_2022-03-05,17,61,-44,892,899,27,26,26,27
2022-03-06,EXETER,SALE,3.0,19_37_4,2.0,51_78,0.0,,0.0,,2.0,5_38,1.0,53,premiership,pool stage,EXETER_SALE_2022-03-06,19,12,7,937,916,27,26,26,26
